,GeneA,GeneB,IdMethodA,IdMethodB,Negative,PubMedId,UTCDate
31,STRAP,NME1,anti tag western blot,anti tag western blot,False,17314099,1176696000.0
32,NME1,STRAP,molecular weight estimation by autoradiography,molecular weight estimation by autoradiography,False,17314099,1176696000.0
33,STRAP,NME1,anti tag western blot,anti tag western blot,False,17314099,1176696000.0
34,SGK1,PDPK1,predetermined participant,predetermined participant,False,17314099,1176696000.0
35,NME1,NME1,molecular weight estimation by autoradiography,molecular weight estimation by autoradiography,False,17314099,1176696000.0
36,CDKN1B,JAK2,western blot,western blot,False,21423214,1313035200.0
37,PRKAA1,PPM1F,predetermined participant,predetermined participant,False,20801214,1287374400.0
38,PRKAA1,PRKAA2,predetermined participant,predetermined participant,False,20801214,1287374400.0
39,PRKAA2,PPM1F,predetermined participant,predetermined participant,False,20801214,1287374400.0
40,PRKAA2,PRKAA1,predetermined participant,predetermined participant,False,20801214,1287374400.0
41,PPM1E,PRKAA2,predetermined participant,predetermined participant,False,20801214,1287374400.0
42,MAPK14,DUSP1,predetermined participant,predetermined participant,False,20347885,1280462400.0
43,DUSP2,MAPK3,predetermined participant,predetermined participant,False,20347885,1280462400.0
44,DUSP1,MAPK3,predetermined participant,predetermined participant,False,20347885,1280462400.0
45,PRKCQ,LCK,western blot,western blot,False,21964608,1319083200.0
46,PRKCQ,LCK,western blot,western blot,False,21964608,1319083200.0
47,PRKCQ,MAP4K3,western blot,western blot,False,21983831,1319083200.0
48,MAP4K3,PRKCQ,western blot,western blot,False,21983831,1319083200.0
49,PRKCQ,MAP4K3,anti tag western blot,anti tag western blot,False,21983831,1319083200.0
50,MAP4K3,PRKCQ,anti tag western blot,anti tag western blot,False,21983831,1319083200.0
51,BRAF,RAF1,western blot,western blot,False,22169110,1327554000.0
52,RAF1,BRAF,western blot,western blot,False,22169110,1327554000.0
53,BRAF,RAF1,western blot,western blot,False,22169110,1327554000.0
54,BRAF,RAF1,western blot,western blot,False,22169110,1327554000.0
55,RAF1,BRAF,western blot,western blot,False,22169110,1327554000.0
56,RAF1,BRAF,anti tag western blot,anti tag western blot,False,22169110,1327554000.0
57,BRAF,BRAF,anti tag western blot,anti tag western blot,False,22169110,1327554000.0
58,RAF1,RAF1,anti tag western blot,anti tag western blot,False,22169110,1327554000.0
59,RAF1,RAF1,anti tag western blot,anti tag western blot,False,22169110,1327554000.0
60,RAF1,BRAF,western blot,western blot,False,22169110,1327554000.0
61,RAF1,BRAF,western blot,western blot,False,22169110,1327554000.0
62,BRAF,RAF1,western blot,western blot,False,22169110,1327554000.0
63,RAF1,BRAF,western blot,western blot,False,22169110,1327554000.0
64,BRAF,RAF1,western blot,western blot,False,22169110,1327554000.0
65,TAB2,MAP3K7,western blot,western blot,False,22081109,1323838800.0
66,TAB3,MAP3K7,western blot,western blot,False,22081109,1323838800.0
67,TAB2,MAP3K7,western blot,western blot,False,22081109,1323838800.0
68,MAP3K7,TAB3,western blot,western blot,False,22081109,1323838800.0
69,TNIK,CNKSR2,nucleotide sequence identification,nucleotide sequence identification,False,17043677,1166158800.0
70,CDKN1A,CDK2,polyclonal antibody western blot,polyclonal antibody western blot,False,16962592,1159243200.0
71,CDKN1A,CDK4,polyclonal antibody western blot,polyclonal antibody western blot,False,16962592,1159243200.0
72,BRAF,MAP3K1,western blot,western blot,False,16888650,1159848000.0
73,STK11,STRADA,nucleotide sequence identification,nucleotide sequence identification,False,12805220,1055476800.0
74,STK11,STRADA,western blot,western blot,False,12805220,1055476800.0
75,STK11,STRADA,western blot,western blot,False,12805220,1055476800.0
76,STK11,STRADA,western blot,western blot,False,12805220,1055476800.0
77,STRADA,STK11,predetermined participant,predetermined participant,False,12805220,1055476800.0
78,STRADA,STK11,predetermined participant,predetermined participant,False,12805220,1055476800.0
79,STK11,STRADA,immunostaining,immunostaining,False,12805220,1055476800.0
80,TNIK,AKAP9,nucleotide sequence identification,nucleotide sequence identification,False,17043677,1166158800.0
81,PRKG1,PRKG1,predetermined participant,predetermined participant,False,20826808,1287374400.0
82,MTOR,MAPKAP1,western blot,western blot,False,21376236,1299474000.0
83,MTOR,RACK1,western blot,western blot,False,21376236,1299474000.0
84,MTOR,MAPKAP1,western blot,western blot,False,21376236,1299474000.0
85,MTOR,RACK1,western blot,western blot,False,21376236,1299474000.0
86,MTOR,MAPKAP1,western blot,western blot,False,21376236,1299474000.0
87,MTOR,RACK1,western blot,western blot,False,21376236,1299474000.0
88,MTOR,MAPKAP1,western blot,western blot,False,21376236,1299474000.0
89,MTOR,RACK1,western blot,western blot,False,21376236,1299474000.0
90,MTOR,MAPKAP1,western blot,western blot,False,21376236,1299474000.0
91,IKBKG,RIPK1,western blot,western blot,False,21458669,1301889600.0
92,IKBKG,RIPK1,western blot,western blot,False,21458669,1301889600.0
93,IKBKG,IKBKB,predetermined participant,predetermined participant,False,16129692,1130126400.0
94,IKBKG,IKBKB,predetermined participant,predetermined participant,False,16129692,1130126400.0
95,IKBKB,CHUK,predetermined participant,predetermined participant,False,16129692,1130126400.0
96,CSNK2A1,CSNK2B,western blot,western blot,False,21968188,1320033600.0
97,CSNK2B,CSNK2A1,western blot,western blot,False,21968188,1320033600.0
98,DUSP7,MAPK14,predetermined participant,predetermined participant,False,9788880,916894800.0
99,MAPK1,DUSP7,predetermined participant,predetermined participant,False,9788880,916894800.0
100,MAPK14,DUSP7,predetermined participant,predetermined participant,False,9788880,916894800.0
101,DUSP7,MAPK1,predetermined participant,predetermined participant,False,9788880,916894800.0
102,GSK3B,GSK3B,autoradiography,autoradiography,False,21985244,1322715600.0
103,IKBKB,IKBKG,western blot,western blot,False,16126728,1130126400.0
104,IKBKG,IKBKB,anti tag western blot,anti tag western blot,False,16126728,1130126400.0
105,IKBKB,IKBKG,western blot,western blot,False,16126728,1130126400.0
106,IKBKG,IKBKB,western blot,western blot,False,16126728,1130126400.0
107,IKBKG,CHUK,western blot,western blot,False,16126728,1130126400.0
108,IKBKG,CHUK,western blot,western blot,False,16126728,1130126400.0
109,CDK4,CDKN2B,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
110,PKM,CDK4,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
111,PKM,CDKN1A,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
112,TP53,CDKN1A,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
113,CSNK1E,TAOK1,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
114,ZMYND8,CSNK1E,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
115,ADRBK1,CSNK2B,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
116,CSNK2B,LCK,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
117,MPP2,CSNK2B,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
118,CSNK2B,PFKFB4,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
119,CSNK2B,STK16,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
120,VRK3,CSNK2B,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
121,DCK,DCK,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
122,MTOR,GSK3B,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
123,GSK3B,MPP1,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
124,GSK3B,PFKFB4,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
125,PIM2,GSK3B,nucleotide sequence identification,predetermined participant,False,21900206,1315454400.0
126,GSK3B,TP53,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
127,ILK,CKB,predetermined participant,nucleotide sequence identification,False,21900206,1315454400.0
128,MPP5,NF2,anti tag western blot,anti tag western blot,False,21481793,1302580800.0
129,NF2,PAK1,anti tag western blot,anti tag western blot,False,21481793,1302580800.0
130,NF2,MPP5,sequence tag identification,sequence tag identification,False,21481793,1302580800.0
131,MAPK3,DUSP6,predetermined participant,predetermined participant,False,12840032,1064203200.0
132,DUSP6,MAPK1,predetermined participant,predetermined participant,False,12840032,1064203200.0
133,MAPK9,DUSP10,predetermined participant,predetermined participant,False,16288922,1134363600.0
134,CAMK2A,PPM1F,predetermined participant,predetermined participant,False,11559703,1006146000.0
135,CSNK2A1,CSNK2B,predetermined participant,predetermined participant,False,23555304,1365048000.0
136,CSNK2A2,CSNK2B,predetermined participant,predetermined participant,False,23555304,1365048000.0
137,CSNK2B,CSNK2B,predetermined participant,predetermined participant,False,23555304,1365048000.0
138,MAP2K1,VRK2,anti tag western blot,anti tag western blot,False,22752157,1350964800.0
139,VRK2,MAP2K1,anti tag western blot,anti tag western blot,False,22752157,1350964800.0
140,VRK2,MAP2K1,anti tag western blot,anti tag western blot,False,22752157,1350964800.0
141,KSR1,VRK2,immunostaining,immunostaining,False,22752157,1350964800.0
142,FGFR2,FGFR2,tag visualisation by fluorescence,tag visualisation by fluorescence,False,22726438,1340596800.0
143,CHUK,IKBKB,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
144,CHUK,IKBKG,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
145,IKBKB,CHUK,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
146,IKBKB,IKBKG,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
147,EIF2AK2,PRKRA,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
148,EIF2AK2,CDK3,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
149,TAB2,TAB1,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
150,TAB2,MAP3K7,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
151,TAB2,TAB3,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
152,TAB3,MAP3K7,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
153,TAB3,TAB2,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
154,TAB3,TAB1,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
155,TBK1,CDC42BPG,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
156,TBK1,IKBKE,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
157,IRAK2,IRAK1,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
158,IRAK2,ADCK3,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
159,IRAK2,ARAF,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
160,IRAK2,FASTKD5,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
161,IRAK3,IRAK2,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
162,IRAK3,IRAK1,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
163,IRAK4,IRAK2,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
164,IRAK4,IRAK1,sequence tag identification,sequence tag identification,False,21903422,1317268800.0
165,ARAF,IRAK2,anti tag western blot,anti tag western blot,False,21903422,1317268800.0
166,TBK1,CDC42BPG,anti tag western blot,anti tag western blot,False,21903422,1317268800.0
167,EGFR,EGFR,molecular weight estimation by coomasie staining,molecular weight estimation by coomasie staining,False,22579287,1336968000.0
168,EGFR,EGFR,molecular weight estimation by coomasie staining,molecular weight estimation by coomasie staining,False,22579287,1336968000.0
169,EGFR,EGFR,predetermined participant,predetermined participant,False,22579287,1336968000.0
170,SKP2,CDKN1B,anti tag western blot,anti tag western blot,False,22632967,1338177600.0
171,SKP2,SKP1,western blot,western blot,False,22632967,1338177600.0
172,MAK,CDK20,anti tag western blot,anti tag western blot,False,21986944,1339732800.0
173,ACBD3,PI4KB,predetermined participant,predetermined participant,False,22124328,1328072400.0
174,ACBD3,PI4KB,anti tag western blot,anti tag western blot,False,22124328,1328072400.0
175,ACBD3,PI4KB,anti tag western blot,anti tag western blot,False,22124328,1328072400.0
176,PI4KB,ACBD3,immunostaining,immunostaining,False,22124328,1328072400.0
177,SRC,AXL,western blot,western blot,False,22327215,1333512000.0
178,TAOK3,ERN1,nucleotide sequence identification,nucleotide sequence identification,False,11278723,988084800.0
179,TAOK3,ERN1,anti tag western blot,anti tag western blot,False,11278723,988084800.0
180,TAOK3,ERN1,anti tag western blot,anti tag western blot,False,11278723,988084800.0
181,MAP3K5,MAP2K3,western blot,western blot,False,21771788,1315195200.0
182,MAP2K3,MAP3K5,western blot,western blot,False,21771788,1315195200.0
183,AKT1,PDPK1,western blot,western blot,False,21775285,1311220800.0
184,ERBB2,SRC,western blot,western blot,False,19372587,1239940800.0
185,SRC,ERBB2,western blot,western blot,False,19372587,1239940800.0
186,SRC,ERBB2,western blot,western blot,False,19372587,1239940800.0
187,ERBB2,SRC,western blot,western blot,False,19372587,1239940800.0
188,TP53,HIPK2,anti tag western blot,anti tag western blot,False,21057547,1299733200.0
189,AKT1,LRRK2,molecular weight estimation by autoradiography,predetermined participant,False,21658387,1310961600.0
190,LRRK2,AKT1,predetermined participant,molecular weight estimation by autoradiography,False,21658387,1310961600.0
191,LRRK2,AKT1,predetermined participant,molecular weight estimation by autoradiography,False,21658387,1310961600.0
192,AKT1,LRRK2,western blot,anti tag western blot,False,21658387,1310961600.0
193,LRRK2,AKT1,anti tag western blot,western blot,False,21658387,1310961600.0
194,LRRK2,AKT1,anti tag western blot,western blot,False,21658387,1310961600.0
195,DAPK1,DAPK1,western blot,western blot,False,21738225,1314849600.0
196,DAPK1,DAPK1,western blot,anti tag western blot,False,21738225,1314849600.0
197,DAPK1,DAPK1,anti tag western blot,anti tag western blot,False,21738225,1314849600.0
198,ERBB2,ERBB2,tag visualisation by fluorescence,tag visualisation by fluorescence,False,21480528,1305172800.0
199,ERBB2,ERBB2,tag visualisation by fluorescence,tag visualisation by fluorescence,False,21480528,1305172800.0
200,EGFR,EGFR,identification by antibody,identification by antibody,False,21480528,1305172800.0
201,EGFR,EGFR,tag visualisation by fluorescence,tag visualisation by fluorescence,False,21480528,1305172800.0
202,ERBB2,ERBB2,identification by antibody,identification by antibody,False,21480528,1305172800.0
203,ERBB3,ERBB3,predetermined participant,predetermined participant,False,21575594,1307419200.0
204,IKBKG,IKBKB,western blot,western blot,False,18266467,1208836800.0
205,IKBKG,CHUK,western blot,western blot,False,18266467,1208836800.0
206,IKBKG,IKBKB,western blot,western blot,False,18266467,1208836800.0
207,IKBKG,CHUK,western blot,western blot,False,18266467,1208836800.0
208,IKBKB,TBK1,western blot,western blot,False,21782231,1312516800.0
209,CALM1,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
210,EGFR,MAP3K12,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
211,EGFR,AKAP12,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
212,EGFR,AIP,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
213,EGFR,AIP,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
214,EGFR,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
215,EGFR,MAST1,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
216,PDK3,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
217,EGFR,PRKAR1B,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
218,EGFR,MOB4,nucleotide sequence identification,nucleotide sequence identification,False,20029029,1261544400.0
219,EGFR,MAP3K12,western blot,western blot,False,20029029,1261544400.0
220,EGFR,MAST1,western blot,western blot,False,20029029,1261544400.0
221,EGFR,AKAP12,western blot,western blot,False,20029029,1261544400.0
222,CAMK2A,CAMK2A,predetermined participant,predetermined participant,False,21884935,1314936000.0
223,ERBB3,ERBB2,western blot,western blot,False,21278786,1306987200.0
224,ERBB2,ERBB3,western blot,western blot,False,21278786,1306987200.0
225,ERBB2,EGFR,western blot,western blot,False,21278786,1306987200.0
226,ERBB3,EGFR,western blot,western blot,False,21278786,1306987200.0
227,EGFR,EGFR,western blot,western blot,False,21278786,1306987200.0
228,PIK3R1,ERBB3,western blot,western blot,False,21278786,1306987200.0
229,PIK3R1,ERBB3,western blot,western blot,False,21278786,1306987200.0
230,NF2,MAP3K11,western blot,western blot,False,20890305,1297918800.0
231,MAP3K11,NF2,western blot,western blot,False,20890305,1297918800.0
232,NF2,MAP3K11,western blot,western blot,False,20890305,1297918800.0
233,NF2,MAP3K11,western blot,western blot,False,20890305,1297918800.0
234,TP53,TP53,predetermined participant,predetermined participant,False,21522129,1306900800.0
235,SRM,SRM,predetermined participant,predetermined participant,False,17585781,1184040000.0
236,PRKAR1A,PRKX,nucleotide sequence identification,nucleotide sequence identification,False,16491121,1152158400.0
237,PRKAR1A,PRKX,anti tag western blot,anti tag western blot,False,16491121,1152158400.0
238,EGFR,SRC,western blot,western blot,False,21278788,1305172800.0
239,EGFR,SRC,western blot,western blot,False,21278788,1305172800.0
240,IKBKG,RIPK1,western blot,western blot,False,21383699,1310616000.0
241,IKBKG,RIPK1,western blot,western blot,False,21383699,1310616000.0
242,NEK9,PLK1,western blot,western blot,False,21642957,1309924800.0
243,PLK1,NEK9,predetermined participant,predetermined participant,False,21642957,1309924800.0
244,NEK9,PLK1,anti tag western blot,molecular weight estimation by coomasie staining,False,21642957,1309924800.0
245,PLK1,NEK9,molecular weight estimation by coomasie staining,anti tag western blot,False,21642957,1309924800.0
246,NEK9,PLK1,anti tag western blot,western blot,False,21642957,1309924800.0
247,NUAK1,TP53,autoradiography,autoradiography,False,21317932,1309406400.0
248,NUAK1,STK11,autoradiography,autoradiography,False,21317932,1309406400.0
249,NUAK1,TP53,autoradiography,autoradiography,False,21317932,1309406400.0
250,NUAK1,TP53,autoradiography,autoradiography,False,21317932,1309406400.0
251,NUAK1,TP53,western blot,western blot,False,21317932,1309406400.0
252,NUAK1,TP53,primer specific pcr,primer specific pcr,False,21317932,1309406400.0
253,STK11,TP53,primer specific pcr,primer specific pcr,False,21317932,1309406400.0
254,TRIM41,TRIM41,predetermined participant,predetermined participant,False,22493164,1341806400.0
255,RB1CC1,TP53,western blot,western blot,False,21775823,1314676800.0
256,TK1,TK1,predetermined participant,predetermined participant,False,22385435,1335153600.0
257,NTRK2,NTRK2,predetermined participant,predetermined participant,False,22269274,1329973200.0
258,NTRK2,NTRK2,predetermined participant,predetermined participant,False,22269274,1329973200.0
259,EGFR,ROR1,western blot,western blot,False,22439932,1332475200.0
260,EGFR,ERBB3,western blot,western blot,False,22439932,1332475200.0
261,ROR1,EGFR,western blot,western blot,False,22439932,1332475200.0
262,ROR1,EGFR,western blot,western blot,False,22439932,1332475200.0
263,SRC,ROR1,western blot,western blot,False,22439932,1332475200.0
264,SRC,ROR1,western blot,western blot,False,22439932,1332475200.0
265,SRC,ROR1,western blot,western blot,False,22439932,1332475200.0
266,SRC,ROR1,western blot,western blot,False,22439932,1332475200.0
267,ERBB3,ROR1,western blot,western blot,False,22439932,1332475200.0
268,ERBB3,PIK3R1,western blot,western blot,False,22439932,1332475200.0
269,EGFR,ERBB3,western blot,western blot,False,22439932,1332475200.0
270,EGFR,ROR1,western blot,western blot,False,22439932,1332475200.0
271,SRC,ROR1,western blot,western blot,False,22439932,1332475200.0
272,SRC,ROR1,western blot,western blot,False,22439932,1332475200.0
273,EGFR,ROR1,western blot,western blot,False,22439932,1332475200.0
274,EGFR,ERBB3,western blot,western blot,False,22439932,1332475200.0
275,EGFR,ROR1,western blot,western blot,False,22439932,1332475200.0
276,ROR1,SRC,western blot,western blot,False,22439932,1332475200.0
277,ROR1,EGFR,western blot,western blot,False,22439932,1332475200.0
278,ROR1,EGFR,western blot,western blot,False,22439932,1332475200.0
279,ROR1,SRC,western blot,western blot,False,22439932,1332475200.0
280,ROR1,SRC,western blot,western blot,False,22439932,1332475200.0
281,RIPK3,RIPK1,western blot,western blot,False,22265413,1327294800.0
282,RIPK3,MLKL,western blot,western blot,False,22265413,1327294800.0
283,RIPK3,MLKL,western blot,western blot,False,22265413,1327294800.0
284,RIPK3,RIPK1,western blot,western blot,False,22265413,1327294800.0
285,RIPK3,MLKL,western blot,western blot,False,22265413,1327294800.0
286,RIPK3,MLKL,anti tag western blot,anti tag western blot,False,22265413,1327294800.0
287,MLKL,RIPK3,anti tag western blot,anti tag western blot,False,22265413,1327294800.0
288,RIPK3,MLKL,anti tag western blot,anti tag western blot,False,22265413,1327294800.0
289,MLKL,RIPK3,sequence tag identification,sequence tag identification,False,22265413,1327294800.0
290,MLKL,RIPK3,molecular weight estimation by autoradiography,molecular weight estimation by autoradiography,False,22265413,1327294800.0
291,RIPK3,RIPK1,western blot,western blot,False,22265414,1327294800.0
292,RIPK3,MLKL,sequence tag identification,sequence tag identification,False,22265414,1327294800.0
293,RIPK3,RIPK1,western blot,western blot,False,22265414,1327294800.0
294,RIPK3,MLKL,western blot,western blot,False,22265414,1327294800.0
295,RIPK3,RIPK1,western blot,western blot,False,22265414,1327294800.0
296,MYO16,PIK3R1,anti tag western blot,western blot,False,21946561,1322629200.0
297,ARHGAP26,MYO16,anti tag western blot,anti tag western blot,False,21946561,1322629200.0
298,WASF1,PIK3R1,western blot,western blot,False,21946561,1322629200.0
299,AKT1,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
300,TRIM41,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
301,LCK,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
302,JAK3,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
303,TEK,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
304,IKBKB,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
305,CDK2,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
306,SRPK1,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
307,IKBKG,FLT3,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
308,FLT3,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
309,IKBKG,DAPK1,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
310,ITK,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
311,PRKD3,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
312,SGK1,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
313,TYRO3,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
314,IKBKG,STK25,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
315,TBK1,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
316,IKBKG,PIM2,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
317,RET,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
318,FLT4,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
319,PRKCB,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
320,GRK4,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
321,PRKCB,IKBKG,tag visualisation by enzyme assay,tag visualisation by enzyme assay,False,20098747,1264395600.0
322,CDK2,IKBKG,predetermined participant,predetermined participant,False,20098747,1264395600.0
323,IKBKB,IKBKG,predetermined participant,predetermined participant,False,20098747,1264395600.0
324,IKBKG,IKBKB,anti tag western blot,anti tag western blot,False,20098747,1264395600.0
325,CDK2,IKBKG,anti tag western blot,anti tag western blot,False,20098747,1264395600.0
326,IKBKB,IKBKG,anti tag western blot,anti tag western blot,False,20098747,1264395600.0
327,CDK2,IKBKG,anti tag western blot,anti tag western blot,False,20098747,1264395600.0
328,STK11,PRKAA1,anti tag western blot,western blot,False,22575644,1336708800.0
329,SRC,EGFR,western blot,western blot,False,20935677,1297918800.0
330,EGFR,SRC,western blot,western blot,False,20935677,1297918800.0
331,BRAF,BRAF,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
332,BRAF,BRAF,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
333,BRAF,BRAF,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
334,BRAF,BRAF,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
335,BRAF,BRAF,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
336,BRAF,BRAF,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
337,RAF1,RAF1,western blot,anti tag western blot,False,22510884,1338436800.0
338,KSR1,BRAF,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
339,KSR2,BRAF,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
340,BRAF,RAF1,anti tag western blot,anti tag western blot,False,22510884,1338436800.0
341,BRAF,RAF1,anti tag western blot,western blot,False,22510884,1338436800.0
342,RAF1,BRAF,western blot,anti tag western blot,False,22510884,1338436800.0
